# Er [keV]  dR/dEr 12C [1/keV/kg/Myr]  13C
3.673E+01  3.474E+05  4.494E+03
3.759E+01  3.361E+05  4.570E+03
3.846E+01  3.310E+05  4.266E+03
3.936E+01  3.224E+05  4.287E+03
4.027E+01  3.133E+05  4.147E+03
4.121E+01  3.062E+05  4.089E+03
4.217E+01  2.975E+05  4.019E+03
4.315E+01  2.904E+05  3.861E+03
4.416E+01  2.830E+05  3.713E+03
4.519E+01  2.759E+05  3.572E+03
4.624E+01  2.711E+05  3.695E+03
4.732E+01  2.613E+05  3.563E+03
4.842E+01  2.550E+05  3.396E+03
4.955E+01  2.492E+05  3.355E+03
5.070E+01  2.423E+05  3.281E+03
5.188E+01  2.369E+05  3.158E+03
5.309E+01  2.306E+05  3.152E+03
5.433E+01  2.232E+05  2.940E+03
5.559E+01  2.188E+05  2.846E+03
5.689E+01  2.136E+05  2.721E+03
5.821E+01  2.079E+05  2.737E+03
5.957E+01  2.021E+05  2.781E+03
6.096E+01  1.964E+05  2.640E+03
6.238E+01  1.911E+05  2.537E+03
6.383E+01  1.860E+05  2.505E+03
6.532E+01  1.815E+05  2.380E+03
6.684E+01  1.765E+05  2.392E+03
6.840E+01  1.722E+05  2.298E+03
6.999E+01  1.681E+05  2.151E+03
7.162E+01  1.633E+05  2.066E+03
7.329E+01  1.591E+05  2.166E+03
7.499E+01  1.547E+05  1.969E+03
7.674E+01  1.504E+05  1.974E+03
7.853E+01  1.462E+05  2.026E+03
8.036E+01  1.428E+05  1.920E+03
8.223E+01  1.388E+05  1.803E+03
8.415E+01  1.347E+05  1.762E+03
8.611E+01  1.317E+05  1.705E+03
8.811E+01  1.276E+05  1.642E+03
9.016E+01  1.248E+05  1.714E+03
9.226E+01  1.209E+05  1.637E+03
9.441E+01  1.177E+05  1.558E+03
9.661E+01  1.149E+05  1.550E+03
9.886E+01  1.105E+05  1.462E+03
1.012E+02  1.084E+05  1.375E+03
1.035E+02  1.048E+05  1.363E+03
1.059E+02  1.019E+05  1.337E+03
1.084E+02  9.866E+04  1.309E+03
1.109E+02  9.618E+04  1.261E+03
1.135E+02  9.293E+04  1.230E+03
1.162E+02  9.059E+04  1.226E+03
1.189E+02  8.831E+04  1.147E+03
1.216E+02  8.559E+04  1.145E+03
1.245E+02  8.307E+04  1.105E+03
1.274E+02  8.048E+04  1.072E+03
1.303E+02  7.886E+04  1.029E+03
1.334E+02  7.613E+04  9.745E+02
1.365E+02  7.406E+04  9.574E+02
1.396E+02  7.163E+04  9.243E+02
1.429E+02  6.969E+04  9.337E+02
1.462E+02  6.761E+04  8.665E+02
1.496E+02  6.525E+04  8.058E+02
1.531E+02  6.322E+04  8.197E+02
1.567E+02  6.147E+04  8.175E+02
1.603E+02  5.977E+04  7.791E+02
1.641E+02  5.760E+04  7.735E+02
1.679E+02  5.626E+04  7.405E+02
1.718E+02  5.422E+04  7.329E+02
1.758E+02  5.295E+04  6.656E+02
1.799E+02  5.127E+04  6.549E+02
1.841E+02  4.958E+04  6.222E+02
1.884E+02  4.788E+04  5.892E+02
1.928E+02  4.652E+04  5.988E+02
1.973E+02  4.506E+04  5.927E+02
2.019E+02  4.395E+04  5.528E+02
2.066E+02  4.205E+04  5.407E+02
2.114E+02  4.070E+04  5.480E+02
2.163E+02  3.957E+04  5.200E+02
2.213E+02  3.825E+04  4.850E+02
2.265E+02  3.695E+04  4.861E+02
2.318E+02  3.566E+04  4.636E+02
2.372E+02  3.467E+04  4.530E+02
2.427E+02  3.330E+04  4.236E+02
2.483E+02  3.218E+04  4.215E+02
2.541E+02  3.126E+04  3.940E+02
2.600E+02  3.010E+04  3.911E+02
2.661E+02  2.915E+04  3.774E+02
2.723E+02  2.831E+04  3.648E+02
2.786E+02  2.726E+04  3.735E+02
2.851E+02  2.644E+04  3.217E+02
2.918E+02  2.526E+04  3.221E+02
2.986E+02  2.441E+04  2.953E+02
3.055E+02  2.361E+04  2.983E+02
3.126E+02  2.286E+04  2.776E+02
3.199E+02  2.209E+04  2.873E+02
3.274E+02  2.135E+04  2.518E+02
3.350E+02  2.050E+04  2.726E+02
3.428E+02  1.991E+04  2.629E+02
3.508E+02  1.903E+04  2.595E+02
3.589E+02  1.832E+04  2.467E+02
3.673E+02  1.765E+04  2.301E+02
3.759E+02  1.701E+04  2.330E+02
3.846E+02  1.645E+04  2.097E+02
3.936E+02  1.581E+04  2.011E+02
4.027E+02  1.522E+04  1.971E+02
4.121E+02  1.468E+04  1.859E+02
4.217E+02  1.408E+04  1.734E+02
4.315E+02  1.355E+04  1.688E+02
4.416E+02  1.307E+04  1.777E+02
4.519E+02  1.254E+04  1.597E+02
4.624E+02  1.218E+04  1.594E+02
4.732E+02  1.161E+04  1.452E+02
4.842E+02  1.113E+04  1.474E+02
4.955E+02  1.076E+04  1.348E+02
5.070E+02  1.033E+04  1.390E+02
5.188E+02  9.963E+03  1.223E+02
5.309E+02  9.512E+03  1.156E+02
5.433E+02  9.101E+03  1.172E+02
5.559E+02  8.789E+03  1.141E+02
5.689E+02  8.444E+03  1.048E+02
5.821E+02  8.125E+03  1.000E+02
5.957E+02  7.737E+03  9.921E+01
6.096E+02  7.440E+03  8.593E+01
6.238E+02  7.077E+03  8.778E+01
6.383E+02  6.811E+03  8.268E+01
6.532E+02  6.468E+03  8.307E+01
6.684E+02  6.215E+03  7.837E+01
6.840E+02  5.964E+03  7.760E+01
6.999E+02  5.660E+03  7.159E+01
7.162E+02  5.490E+03  6.555E+01
7.329E+02  5.234E+03  6.891E+01
7.499E+02  4.925E+03  6.154E+01
7.674E+02  4.759E+03  6.079E+01
7.853E+02  4.520E+03  5.928E+01
8.036E+02  4.305E+03  5.350E+01
8.223E+02  4.117E+03  4.904E+01
8.415E+02  3.872E+03  4.898E+01
8.611E+02  3.677E+03  4.522E+01
8.811E+02  3.492E+03  4.431E+01
9.016E+02  3.328E+03  3.968E+01
9.226E+02  3.154E+03  3.749E+01
9.441E+02  2.988E+03  3.413E+01
9.661E+02  2.837E+03  3.458E+01
9.886E+02  2.614E+03  3.469E+01
