# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  S32  S34  Ca40  Ca44
3.055124E-02  2.451930E+07  1.176182E+06  0.000000E+00  3.272795E+06  1.381330E+05
3.126287E-02  2.361902E+07  1.062535E+06  0.000000E+00  3.131471E+06  1.269696E+05
3.199107E-02  2.306963E+07  1.097123E+06  0.000000E+00  3.074558E+06  1.136306E+05
3.273624E-02  2.247430E+07  1.106612E+06  0.000000E+00  2.940754E+06  9.062218E+04
3.349876E-02  2.206500E+07  1.106368E+06  0.000000E+00  2.876308E+06  1.110110E+05
3.427905E-02  2.156274E+07  1.067776E+06  0.000000E+00  2.812055E+06  8.898136E+04
3.507751E-02  2.063356E+07  1.085162E+06  0.000000E+00  2.886221E+06  1.072059E+05
3.589457E-02  2.050263E+07  1.038343E+06  0.000000E+00  2.917140E+06  1.070937E+05
3.673066E-02  2.008143E+07  9.828560E+05  0.000000E+00  2.814335E+06  9.783058E+04
3.758623E-02  1.964544E+07  9.693769E+05  0.000000E+00  2.611314E+06  1.067204E+05
3.846173E-02  1.893427E+07  9.299293E+05  0.000000E+00  2.633351E+06  8.908201E+04
3.935762E-02  1.886954E+07  9.076999E+05  0.000000E+00  2.608443E+06  1.178417E+05
4.027437E-02  1.827402E+07  8.932629E+05  0.000000E+00  2.535580E+06  1.037471E+05
4.121248E-02  1.808313E+07  8.070292E+05  0.000000E+00  2.510307E+06  8.110846E+04
4.217245E-02  1.735545E+07  8.500871E+05  0.000000E+00  2.435331E+06  8.619765E+04
4.315477E-02  1.701364E+07  8.452602E+05  0.000000E+00  2.371182E+06  7.745798E+04
4.415997E-02  1.686291E+07  7.891185E+05  0.000000E+00  2.352216E+06  8.610286E+04
4.518859E-02  1.609441E+07  8.312580E+05  0.000000E+00  2.268160E+06  7.951968E+04
4.624117E-02  1.588167E+07  7.391447E+05  0.000000E+00  2.227374E+06  6.867359E+04
4.731826E-02  1.551045E+07  7.788337E+05  0.000000E+00  2.254379E+06  7.682373E+04
4.842045E-02  1.518845E+07  7.490243E+05  0.000000E+00  2.109867E+06  7.507501E+04
4.954830E-02  1.494476E+07  7.218549E+05  0.000000E+00  2.058467E+06  5.987348E+04
5.070243E-02  1.446695E+07  7.614618E+05  0.000000E+00  2.099789E+06  7.664064E+04
5.188344E-02  1.429710E+07  6.829234E+05  0.000000E+00  2.001256E+06  5.154139E+04
5.309196E-02  1.387171E+07  7.153854E+05  0.000000E+00  1.917138E+06  6.925623E+04
5.432863E-02  1.366055E+07  6.767976E+05  0.000000E+00  1.955022E+06  6.767976E+04
5.559411E-02  1.326993E+07  6.726656E+05  0.000000E+00  1.832356E+06  7.290342E+04
5.688906E-02  1.276809E+07  6.654330E+05  0.000000E+00  1.869970E+06  7.271288E+04
5.821418E-02  1.271862E+07  6.581812E+05  0.000000E+00  1.818073E+06  7.536426E+04
5.957016E-02  1.232039E+07  6.228581E+05  0.000000E+00  1.653239E+06  7.364876E+04
6.095773E-02  1.191519E+07  5.840039E+05  0.000000E+00  1.651936E+06  7.197231E+04
6.237762E-02  1.184559E+07  5.834375E+05  0.000000E+00  1.668591E+06  5.693707E+04
6.383058E-02  1.152751E+07  5.655746E+05  0.000000E+00  1.655484E+06  6.873303E+04
6.531738E-02  1.127983E+07  5.725313E+05  0.000000E+00  1.615881E+06  5.181568E+04
6.683882E-02  1.095180E+07  5.519972E+05  0.000000E+00  1.570973E+06  5.688759E+04
6.839570E-02  1.063531E+07  5.247704E+05  0.000000E+00  1.566980E+06  5.559267E+04
6.998884E-02  1.056575E+07  5.032731E+05  0.000000E+00  1.507431E+06  6.208826E+04
7.161909E-02  1.036900E+07  5.466581E+05  0.000000E+00  1.484786E+06  5.309059E+04
7.328731E-02  1.004574E+07  4.886040E+05  0.000000E+00  1.460681E+06  4.390024E+04
7.499439E-02  9.741301E+06  5.058969E+05  0.000000E+00  1.410160E+06  4.290095E+04
7.674123E-02  9.708494E+06  4.976481E+05  0.000000E+00  1.385139E+06  4.791360E+04
7.852877E-02  9.324153E+06  4.655692E+05  0.000000E+00  1.349885E+06  4.682296E+04
8.035794E-02  9.129069E+06  4.544516E+05  0.000000E+00  1.282760E+06  4.575714E+04
8.222971E-02  8.891286E+06  4.679892E+05  0.000000E+00  1.297768E+06  4.420744E+04
8.414509E-02  8.892984E+06  4.483983E+05  0.000000E+00  1.281634E+06  4.121490E+04
8.610508E-02  8.428513E+06  4.304273E+05  0.000000E+00  1.294679E+06  4.707040E+04
8.811073E-02  8.463332E+06  4.452888E+05  0.000000E+00  1.232013E+06  4.457630E+04
9.016309E-02  8.217390E+06  4.346893E+05  0.000000E+00  1.211384E+06  4.309820E+04
9.226326E-02  8.011771E+06  4.066797E+05  0.000000E+00  1.188338E+06  4.483440E+04
9.441234E-02  7.689993E+06  3.956523E+05  0.000000E+00  1.163944E+06  3.452000E+04
9.661149E-02  7.642965E+06  3.961609E+05  0.000000E+00  1.137016E+06  3.978909E+04
9.886186E-02  7.440250E+06  3.803809E+05  0.000000E+00  1.088312E+06  4.818158E+04
1.011646E-01  7.302692E+06  3.960908E+05  0.000000E+00  1.082125E+06  3.717223E+04
1.035211E-01  7.099329E+06  3.749660E+05  0.000000E+00  1.100277E+06  3.995870E+04
1.059324E-01  6.984272E+06  3.605142E+05  0.000000E+00  1.055904E+06  3.549921E+04
1.083999E-01  6.808716E+06  3.573188E+05  0.000000E+00  1.017992E+06  4.394212E+04
1.109248E-01  6.523022E+06  3.405215E+05  0.000000E+00  9.774927E+05  4.181183E+04
1.135086E-01  6.427179E+06  3.173098E+05  0.000000E+00  9.629725E+05  3.349790E+04
1.161526E-01  6.384121E+06  3.284331E+05  0.000000E+00  9.554418E+05  3.273539E+04
1.188581E-01  6.099239E+06  3.325579E+05  0.000000E+00  9.097885E+05  2.882637E+04
1.216267E-01  5.954563E+06  3.112464E+05  0.000000E+00  9.509162E+05  3.538453E+04
1.244597E-01  5.902279E+06  3.081902E+05  0.000000E+00  8.805914E+05  3.357192E+04
1.273587E-01  5.775473E+06  3.064242E+05  0.000000E+00  8.785910E+05  3.018311E+04
1.303253E-01  5.612587E+06  3.180445E+05  0.000000E+00  8.755841E+05  3.334337E+04
1.333610E-01  5.428433E+06  2.904396E+05  0.000000E+00  8.161761E+05  3.039120E+04
1.364674E-01  5.298131E+06  2.767863E+05  0.000000E+00  8.104572E+05  2.969942E+04
1.396461E-01  5.197877E+06  2.704859E+05  0.000000E+00  7.920090E+05  3.321231E+04
1.428989E-01  5.086576E+06  2.736856E+05  0.000000E+00  7.684251E+05  3.187151E+04
1.462274E-01  5.013082E+06  2.757424E+05  0.000000E+00  7.757932E+05  2.886008E+04
1.496335E-01  4.858480E+06  2.689072E+05  0.000000E+00  7.709790E+05  3.267097E+04
1.531189E-01  4.796461E+06  2.461403E+05  0.000000E+00  7.550667E+05  2.674251E+04
1.566855E-01  4.743014E+06  2.469376E+05  0.000000E+00  7.194790E+05  2.560044E+04
1.603352E-01  4.568336E+06  2.473104E+05  0.000000E+00  7.119621E+05  2.189049E+04
1.640699E-01  4.475299E+06  2.513583E+05  0.000000E+00  6.949918E+05  2.546690E+04
1.678915E-01  4.326890E+06  2.262247E+05  0.000000E+00  6.654839E+05  2.513608E+04
1.718022E-01  4.200429E+06  2.390725E+05  0.000000E+00  6.659009E+05  2.675278E+04
1.758040E-01  4.163996E+06  2.314915E+05  0.000000E+00  6.535952E+05  2.614381E+04
1.798990E-01  4.055276E+06  2.276157E+05  0.000000E+00  6.250142E+05  2.554870E+04
1.840894E-01  3.997694E+06  2.287898E+05  0.000000E+00  6.439253E+05  2.201648E+04
1.883774E-01  3.831059E+06  2.060591E+05  0.000000E+00  6.357002E+05  2.151532E+04
1.927653E-01  3.807363E+06  2.041865E+05  0.000000E+00  6.015049E+05  2.210937E+04
1.972553E-01  3.709047E+06  1.893711E+05  0.000000E+00  5.892957E+05  2.563076E+04
2.018500E-01  3.635797E+06  1.910636E+05  0.000000E+00  5.593215E+05  1.800924E+04
2.065517E-01  3.557284E+06  1.939969E+05  0.000000E+00  5.639868E+05  2.002679E+04
2.113629E-01  3.475717E+06  1.834527E+05  0.000000E+00  5.440322E+05  1.976861E+04
2.162862E-01  3.345792E+06  1.883566E+05  0.000000E+00  5.440124E+05  2.221642E+04
2.213241E-01  3.286435E+06  1.831251E+05  0.000000E+00  5.269095E+05  2.057798E+04
2.264794E-01  3.250185E+06  1.828310E+05  0.000000E+00  5.221107E+05  2.103202E+04
2.317548E-01  3.094710E+06  1.779481E+05  0.000000E+00  5.161756E+05  2.253648E+04
2.371531E-01  3.026204E+06  1.724880E+05  0.000000E+00  4.980833E+05  1.673785E+04
2.426771E-01  2.987278E+06  1.589197E+05  0.000000E+00  4.779645E+05  1.601250E+04
2.483298E-01  2.942499E+06  1.581627E+05  0.000000E+00  4.601861E+05  1.985446E+04
2.541141E-01  2.847567E+06  1.506162E+05  0.000000E+00  4.556304E+05  1.923809E+04
2.600332E-01  2.824044E+06  1.579537E+05  0.000000E+00  4.531326E+05  1.542579E+04
2.660901E-01  2.709198E+06  1.568706E+05  0.000000E+00  4.332393E+05  1.868629E+04
2.722882E-01  2.692798E+06  1.477755E+05  0.000000E+00  4.325848E+05  1.549878E+04
2.786306E-01  2.597611E+06  1.457614E+05  0.000000E+00  4.261870E+05  1.694551E+04
2.851207E-01  2.562516E+06  1.376074E+05  0.000000E+00  4.213219E+05  1.685288E+04
2.917620E-01  2.485712E+06  1.466480E+05  0.000000E+00  4.092968E+05  1.245935E+04
2.985580E-01  2.409257E+06  1.349128E+05  0.000000E+00  3.938223E+05  1.455491E+04
3.055124E-01  2.362075E+06  1.366286E+05  0.000000E+00  3.836269E+05  1.449713E+04
3.126287E-01  2.317797E+06  1.272369E+05  0.000000E+00  3.933385E+05  1.403348E+04
3.199107E-01  2.276270E+06  1.307405E+05  0.000000E+00  3.787688E+05  1.279977E+04
3.273624E-01  2.237092E+06  1.188299E+05  0.000000E+00  3.562345E+05  1.416769E+04
3.349876E-01  2.144259E+06  1.282240E+05  0.000000E+00  3.596009E+05  1.396993E+04
3.427905E-01  2.097400E+06  1.233550E+05  0.000000E+00  3.609230E+05  1.170166E+04
3.507751E-01  2.059544E+06  1.120897E+05  0.000000E+00  3.533030E+05  1.226912E+04
3.589457E-01  2.031754E+06  1.140781E+05  0.000000E+00  3.322233E+05  1.396875E+04
3.673066E-01  1.957408E+06  1.123914E+05  0.000000E+00  3.264811E+05  1.057935E+04
3.758623E-01  1.917187E+06  1.058311E+05  0.000000E+00  3.311667E+05  1.189488E+04
3.846173E-01  1.890060E+06  1.050516E+05  0.000000E+00  3.060293E+05  1.097230E+04
3.935762E-01  1.835252E+06  1.066945E+05  0.000000E+00  3.011865E+05  1.040405E+04
4.027437E-01  1.805927E+06  9.918227E+04  0.000000E+00  2.997255E+05  1.327963E+04
4.121248E-01  1.756100E+06  9.793846E+04  0.000000E+00  2.951334E+05  1.023994E+04
4.217245E-01  1.744363E+06  1.007621E+05  0.000000E+00  2.916849E+05  1.030409E+04
4.315477E-01  1.661958E+06  9.411144E+04  0.000000E+00  2.883373E+05  9.294957E+03
4.415997E-01  1.657433E+06  9.651089E+04  0.000000E+00  2.781785E+05  1.040804E+04
4.518859E-01  1.608887E+06  8.858122E+04  0.000000E+00  2.650040E+05  1.026359E+04
4.624117E-01  1.586450E+06  8.746847E+04  0.000000E+00  2.713510E+05  9.758879E+03
4.731826E-01  1.531530E+06  8.803823E+04  0.000000E+00  2.577569E+05  7.770677E+03
4.842045E-01  1.504866E+06  8.784639E+04  0.000000E+00  2.606052E+05  9.492243E+03
4.954830E-01  1.454926E+06  8.787066E+04  0.000000E+00  2.528179E+05  8.179898E+03
5.070243E-01  1.432273E+06  8.067869E+04  0.000000E+00  2.388221E+05  8.240929E+03
5.188344E-01  1.396208E+06  8.182196E+04  0.000000E+00  2.281512E+05  9.180810E+03
5.309196E-01  1.370959E+06  7.783456E+04  0.000000E+00  2.241383E+05  9.601432E+03
5.432863E-01  1.329369E+06  7.783173E+04  0.000000E+00  2.278808E+05  9.382876E+03
5.559411E-01  1.295727E+06  7.553395E+04  0.000000E+00  2.177332E+05  7.515816E+03
5.688906E-01  1.266600E+06  7.645870E+04  0.000000E+00  2.169635E+05  6.904051E+03
5.821418E-01  1.256430E+06  7.371343E+04  0.000000E+00  2.103740E+05  6.890447E+03
5.957016E-01  1.209172E+06  7.126395E+04  0.000000E+00  2.032004E+05  6.593318E+03
6.095773E-01  1.189325E+06  6.902488E+04  0.000000E+00  1.989863E+05  8.019772E+03
6.237762E-01  1.164463E+06  6.551112E+04  0.000000E+00  1.925143E+05  5.827676E+03
6.383058E-01  1.131935E+06  6.356168E+04  0.000000E+00  1.948745E+05  6.480542E+03
6.531738E-01  1.107576E+06  6.192293E+04  0.000000E+00  1.920379E+05  6.972727E+03
6.683882E-01  1.088178E+06  6.213875E+04  0.000000E+00  1.836657E+05  6.939036E+03
