# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
3.935762E-02  1.015399E+07  1.211022E+06  1.904978E+04  8.735686E+05  2.617077E+05
4.027437E-02  9.788109E+06  1.156861E+06  1.772967E+04  8.426027E+05  2.637289E+05
4.121248E-02  9.832560E+06  1.128795E+06  1.429403E+04  8.026314E+05  2.451643E+05
4.217245E-02  9.632448E+06  1.116646E+06  1.269878E+04  8.470086E+05  2.527057E+05
4.315477E-02  9.404500E+06  1.104051E+06  1.447801E+04  8.020816E+05  2.428169E+05
4.415997E-02  9.000029E+06  1.044964E+06  1.172300E+04  7.684628E+05  2.514381E+05
4.518859E-02  8.992289E+06  1.061867E+06  1.698671E+04  7.774381E+05  2.358387E+05
4.624117E-02  8.678348E+06  9.867374E+05  1.660004E+04  7.620577E+05  2.185029E+05
4.731826E-02  8.449492E+06  9.948346E+05  1.169506E+04  7.360342E+05  1.939116E+05
4.842045E-02  8.114482E+06  9.913603E+05  1.106017E+04  7.189114E+05  2.355817E+05
4.954830E-02  8.027770E+06  9.597872E+05  1.297010E+04  7.137156E+05  2.104038E+05
5.070243E-02  7.930943E+06  9.213920E+05  1.478734E+04  6.911321E+05  2.031499E+05
5.188344E-02  7.703964E+06  9.203744E+05  1.479480E+04  6.774644E+05  2.116001E+05
5.309196E-02  7.501365E+06  8.816037E+05  1.008700E+04  6.805362E+05  2.094734E+05
5.432863E-02  7.449559E+06  8.707362E+05  1.117171E+04  6.532165E+05  1.915620E+05
5.559411E-02  7.126822E+06  8.749984E+05  1.252291E+04  6.325676E+05  2.048620E+05
5.688906E-02  6.971499E+06  8.397052E+05  1.161027E+04  6.326030E+05  1.939230E+05
5.821418E-02  6.893457E+06  8.144582E+05  1.226594E+04  6.387487E+05  1.928819E+05
5.957016E-02  6.668817E+06  7.773394E+05  8.990048E+03  6.107239E+05  1.827976E+05
6.095773E-02  6.538980E+06  7.944938E+05  7.614021E+03  5.982864E+05  1.847864E+05
6.237762E-02  6.415891E+06  7.652479E+05  1.259196E+04  5.757961E+05  1.843005E+05
6.383058E-02  6.219787E+06  7.771937E+05  7.551000E+03  5.814270E+05  1.764697E+05
6.531738E-02  6.058530E+06  7.291663E+05  8.745622E+03  5.498810E+05  1.672600E+05
6.683882E-02  5.965223E+06  7.414130E+05  1.148442E+04  5.643392E+05  1.832166E+05
6.839570E-02  5.833875E+06  7.352374E+05  9.657005E+03  5.052963E+05  1.654741E+05
6.998884E-02  5.711027E+06  7.044731E+05  7.141653E+03  5.195553E+05  1.589018E+05
7.161909E-02  5.661786E+06  6.802120E+05  1.046863E+04  5.294138E+05  1.769698E+05
7.328731E-02  5.448873E+06  6.820226E+05  1.023034E+04  4.791209E+05  1.602753E+05
7.499439E-02  5.341028E+06  6.595949E+05  7.855153E+03  5.034439E+05  1.580552E+05
7.674123E-02  5.175487E+06  6.552810E+05  8.374198E+03  4.798881E+05  1.521313E+05
7.852877E-02  5.075864E+06  6.455934E+05  9.547508E+03  4.703284E+05  1.488957E+05
8.035794E-02  4.986759E+06  6.135704E+05  9.996621E+03  4.662869E+05  1.499493E+05
8.222971E-02  4.840466E+06  6.089387E+05  8.249437E+03  4.565412E+05  1.404575E+05
8.414509E-02  4.798383E+06  5.761963E+05  7.425211E+03  4.506042E+05  1.389575E+05
8.610508E-02  4.627792E+06  5.813247E+05  6.634233E+03  4.532010E+05  1.505142E+05
8.811073E-02  4.501785E+06  5.753857E+05  7.698823E+03  4.199911E+05  1.481010E+05
9.016309E-02  4.458907E+06  5.537748E+05  6.929610E+03  4.191424E+05  1.423540E+05
9.226326E-02  4.351605E+06  5.405889E+05  7.352319E+03  4.105690E+05  1.329222E+05
9.441234E-02  4.252551E+06  5.445443E+05  9.453894E+03  4.012233E+05  1.255477E+05
9.661149E-02  4.141708E+06  5.158889E+05  6.097540E+03  4.065027E+05  1.210269E+05
9.886186E-02  4.070363E+06  4.875335E+05  5.236471E+03  3.990552E+05  1.202583E+05
1.011646E-01  3.958653E+06  5.253147E+05  7.764141E+03  3.799135E+05  1.325198E+05
1.035211E-01  3.828882E+06  5.037004E+05  5.173232E+03  3.728176E+05  1.224332E+05
1.059324E-01  3.806267E+06  4.735295E+05  5.223991E+03  3.717459E+05  1.130741E+05
1.083999E-01  3.723908E+06  4.937105E+05  5.763798E+03  3.494509E+05  1.216985E+05
1.109248E-01  3.634957E+06  4.642870E+05  6.920049E+03  3.469681E+05  1.215032E+05
1.135086E-01  3.513685E+06  4.450688E+05  7.234334E+03  3.431591E+05  1.135476E+05
1.161526E-01  3.408960E+06  4.547636E+05  5.225401E+03  3.451839E+05  1.135756E+05
1.188581E-01  3.375818E+06  4.375032E+05  4.956267E+03  3.410813E+05  1.102394E+05
1.216267E-01  3.300296E+06  4.138947E+05  4.549906E+03  3.352253E+05  1.113993E+05
1.244597E-01  3.212120E+06  4.473589E+05  3.872617E+03  3.261604E+05  1.133099E+05
1.273587E-01  3.127790E+06  4.085821E+05  3.924630E+03  3.178951E+05  1.014797E+05
1.303253E-01  3.091248E+06  4.061303E+05  4.794119E+03  3.084673E+05  1.012244E+05
1.333610E-01  2.987686E+06  3.934054E+05  4.818848E+03  3.046583E+05  1.005265E+05
1.364674E-01  2.925433E+06  3.972698E+05  4.970778E+03  2.964153E+05  9.784583E+04
1.396461E-01  2.880446E+06  3.840083E+05  4.985461E+03  2.926082E+05  9.766391E+04
1.428989E-01  2.828246E+06  3.710199E+05  3.872598E+03  2.798264E+05  1.044352E+05
1.462274E-01  2.730540E+06  3.681901E+05  5.981868E+03  2.724802E+05  9.058257E+04
1.496335E-01  2.698806E+06  3.674442E+05  5.487804E+03  2.842921E+05  8.852066E+04
1.531189E-01  2.597735E+06  3.476549E+05  4.896548E+03  2.568356E+05  8.872079E+04
1.566855E-01  2.564238E+06  3.477165E+05  4.899020E+03  2.785605E+05  9.080276E+04
1.603352E-01  2.502640E+06  3.328986E+05  4.230818E+03  2.691023E+05  8.227827E+04
1.640699E-01  2.428265E+06  3.467551E+05  4.896133E+03  2.574278E+05  8.486631E+04
1.678915E-01  2.372353E+06  3.229130E+05  3.508768E+03  2.396595E+05  8.378513E+04
1.718022E-01  2.325417E+06  3.161860E+05  4.260147E+03  2.441792E+05  8.135842E+04
1.758040E-01  2.253293E+06  3.161982E+05  3.249307E+03  2.336455E+05  8.336503E+04
1.798990E-01  2.240006E+06  3.085045E+05  3.770720E+03  2.326931E+05  8.126895E+04
1.840894E-01  2.167393E+06  3.004154E+05  3.684888E+03  2.338934E+05  7.796448E+04
1.883774E-01  2.101284E+06  2.886494E+05  4.074827E+03  2.258212E+05  7.685314E+04
1.927653E-01  2.057991E+06  2.893022E+05  4.259892E+03  2.216996E+05  7.862279E+04
1.972553E-01  2.004810E+06  2.852508E+05  4.072426E+03  2.228975E+05  7.629012E+04
2.018500E-01  1.990571E+06  2.873363E+05  4.687234E+03  2.149937E+05  6.986631E+04
2.065517E-01  1.930654E+06  2.730174E+05  3.197735E+03  2.133840E+05  7.233795E+04
2.113629E-01  1.908244E+06  2.595394E+05  3.040488E+03  2.151990E+05  7.187375E+04
2.162862E-01  1.825685E+06  2.554473E+05  3.549026E+03  2.027072E+05  6.792671E+04
2.213241E-01  1.795097E+06  2.550367E+05  4.194151E+03  2.030130E+05  6.460606E+04
2.264794E-01  1.771418E+06  2.586898E+05  3.941039E+03  2.016236E+05  7.030814E+04
2.317548E-01  1.726705E+06  2.561134E+05  3.312144E+03  1.937989E+05  6.762936E+04
2.371531E-01  1.674077E+06  2.446381E+05  2.559291E+03  1.914199E+05  6.277790E+04
2.426771E-01  1.643989E+06  2.399522E+05  2.574594E+03  1.901522E+05  6.818997E+04
2.483298E-01  1.621447E+06  2.412474E+05  2.803531E+03  1.835953E+05  6.369047E+04
2.541141E-01  1.580745E+06  2.302063E+05  3.231458E+03  1.858089E+05  6.399693E+04
2.600332E-01  1.538173E+06  2.200233E+05  2.814651E+03  1.740278E+05  6.027473E+04
2.660901E-01  1.480752E+06  2.199795E+05  2.683495E+03  1.781170E+05  6.031154E+04
2.722882E-01  1.477204E+06  2.225771E+05  2.556851E+03  1.701945E+05  5.775860E+04
2.786306E-01  1.451523E+06  2.123211E+05  2.818989E+03  1.727272E+05  5.830182E+04
2.851207E-01  1.398760E+06  2.067368E+05  2.629602E+03  1.759329E+05  5.810168E+04
2.917620E-01  1.344894E+06  2.091895E+05  3.181589E+03  1.715611E+05  5.555544E+04
2.985580E-01  1.326359E+06  1.966548E+05  2.032917E+03  1.575511E+05  5.375272E+04
3.055124E-01  1.306217E+06  1.980799E+05  2.278795E+03  1.591067E+05  5.714518E+04
3.126287E-01  1.271916E+06  1.952841E+05  2.797930E+03  1.610808E+05  5.475948E+04
3.199107E-01  1.246647E+06  1.936847E+05  3.069046E+03  1.558517E+05  5.155998E+04
3.273624E-01  1.221868E+06  1.858950E+05  2.235757E+03  1.525222E+05  5.360364E+04
3.349876E-01  1.185902E+06  1.902431E+05  2.131576E+03  1.547524E+05  4.966571E+04
3.427905E-01  1.167136E+06  1.839338E+05  2.916277E+03  1.502924E+05  4.863933E+04
3.507751E-01  1.140060E+06  1.798996E+05  2.188312E+03  1.473803E+05  4.956781E+04
3.589457E-01  1.103764E+06  1.748099E+05  1.740639E+03  1.464624E+05  4.719619E+04
3.673066E-01  1.085201E+06  1.713168E+05  1.992620E+03  1.343318E+05  4.874630E+04
3.758623E-01  1.060451E+06  1.687944E+05  2.659676E+03  1.367359E+05  4.834911E+04
3.846173E-01  1.043553E+06  1.682011E+05  1.856525E+03  1.332056E+05  4.594899E+04
3.935762E-01  1.031863E+06  1.615149E+05  2.267831E+03  1.296292E+05  4.240844E+04
4.027437E-01  9.921525E+05  1.557995E+05  1.861616E+03  1.301358E+05  4.445716E+04
4.121248E-01  9.686154E+05  1.513868E+05  1.689294E+03  1.245313E+05  4.218904E+04
4.217245E-01  9.439426E+05  1.517081E+05  2.201122E+03  1.264375E+05  4.190597E+04
4.315477E-01  9.298603E+05  1.530946E+05  2.192384E+03  1.248832E+05  4.260671E+04
4.415997E-01  9.001646E+05  1.476289E+05  1.859510E+03  1.219596E+05  4.297086E+04
4.518859E-01  8.797929E+05  1.430834E+05  2.212222E+03  1.186304E+05  4.222974E+04
4.624117E-01  8.492273E+05  1.472771E+05  1.544190E+03  1.173198E+05  4.003312E+04
4.731826E-01  8.450246E+05  1.366436E+05  2.188108E+03  1.160452E+05  3.780145E+04
4.842045E-01  8.321307E+05  1.367406E+05  1.917097E+03  1.148783E+05  4.051711E+04
4.954830E-01  8.086495E+05  1.382036E+05  1.909487E+03  1.098855E+05  3.757725E+04
5.070243E-01  7.897143E+05  1.303750E+05  1.795605E+03  1.088630E+05  3.753167E+04
5.188344E-01  7.735962E+05  1.301943E+05  2.029985E+03  1.074172E+05  3.684938E+04
5.309196E-01  7.413944E+05  1.292145E+05  1.546673E+03  1.067877E+05  3.725465E+04
5.432863E-01  7.245511E+05  1.213445E+05  1.741472E+03  1.034697E+05  3.571661E+04
5.559411E-01  7.211592E+05  1.199310E+05  1.573392E+03  1.017888E+05  3.410085E+04
5.688906E-01  6.940747E+05  1.214686E+05  1.882747E+03  1.009466E+05  3.370117E+04
5.821418E-01  6.811275E+05  1.176303E+05  1.533242E+03  9.978340E+04  3.501925E+04
5.957016E-01  6.742536E+05  1.156420E+05  1.558275E+03  9.826122E+04  3.428205E+04
6.095773E-01  6.566508E+05  1.166995E+05  1.727797E+03  9.464814E+04  3.511235E+04
6.237762E-01  6.420184E+05  1.143865E+05  1.373669E+03  9.197856E+04  3.228121E+04
6.383058E-01  6.243838E+05  1.150269E+05  1.510200E+03  9.301714E+04  3.143454E+04
6.531738E-01  6.066455E+05  1.074892E+05  1.831115E+03  9.081782E+04  3.290540E+04
6.683882E-01  5.961751E+05  1.079002E+05  1.255274E+03  8.776236E+04  3.175577E+04
6.839570E-01  5.850318E+05  1.035388E+05  1.252801E+03  8.628665E+04  3.145052E+04
6.998884E-01  5.631449E+05  1.047272E+05  1.351813E+03  8.118529E+04  3.114271E+04
7.161909E-01  5.561587E+05  9.793158E+04  1.570295E+03  8.606713E+04  2.851457E+04
7.328731E-01  5.480295E+05  9.977016E+04  1.217897E+03  8.281703E+04  2.803600E+04
7.499439E-01  5.303657E+05  9.864168E+04  1.309192E+03  7.821829E+04  2.896885E+04
