# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Mg24  Mg25  Mg26  P31  Fe54  Fe56  Fe57
1.035211E-02  3.685299E+06  1.266327E+05  8.154378E+03  1.598898E+02  7.994488E+02  5.915921E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.059324E-02  3.620005E+06  1.173439E+05  7.187511E+03  4.687507E+02  4.687507E+02  5.781259E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.083999E-02  3.534397E+06  1.238345E+05  8.550838E+03  0.000000E+00  3.053871E+02  3.970032E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.109248E-02  3.484982E+06  1.120626E+05  7.908544E+03  4.476534E+02  1.193743E+03  4.327317E+03  0.000000E+00  1.492178E+02  0.000000E+00
1.135086E-02  3.331869E+06  1.128656E+05  4.957921E+03  5.832848E+02  4.374636E+02  5.103742E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.161526E-02  3.238213E+06  1.102965E+05  7.125095E+03  4.275057E+02  2.850038E+02  5.415072E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.188581E-02  3.189569E+06  1.070895E+05  6.127359E+03  4.177745E+02  5.570327E+02  5.709585E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.216267E-02  3.111114E+06  1.090067E+05  5.987884E+03  2.721765E+02  5.443531E+02  5.035266E+03  0.000000E+00  1.360883E+02  0.000000E+00
1.244597E-02  3.041360E+06  1.002748E+05  6.250554E+03  2.659810E+02  1.329905E+02  3.856725E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.273587E-02  3.022686E+06  9.474323E+04  7.407907E+03  2.599266E+02  2.599266E+02  3.638972E+03  0.000000E+00  1.299633E+02  0.000000E+00
1.303253E-02  2.921114E+06  9.284062E+04  7.112278E+03  1.270050E+02  3.810149E+02  3.175124E+03  0.000000E+00  1.270050E+02  0.000000E+00
1.333610E-02  2.851767E+06  9.792592E+04  5.461015E+03  2.482279E+02  2.482279E+02  4.592217E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.364674E-02  2.773390E+06  9.945681E+04  6.064440E+03  4.851552E+02  9.703103E+02  4.123819E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.396461E-02  2.685250E+06  9.541498E+04  5.689340E+03  4.741117E+02  3.555838E+02  3.792894E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.428989E-02  2.662119E+06  9.173728E+04  5.328175E+03  5.791495E+02  5.791495E+02  4.517366E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.462274E-02  2.581147E+06  9.089421E+04  5.546471E+03  2.263866E+02  5.659664E+02  3.622185E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.496335E-02  2.528145E+06  7.853785E+04  5.752068E+03  3.318501E+02  4.424668E+02  3.539734E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.531189E-02  2.488649E+06  8.518182E+04  6.594024E+03  2.161975E+02  5.404938E+02  5.404938E+03  0.000000E+00  1.080988E+02  0.000000E+00
1.566855E-02  2.429254E+06  8.260901E+04  5.281906E+03  1.056381E+02  3.169144E+02  4.331163E+03  0.000000E+00  1.056381E+02  0.000000E+00
1.603352E-02  2.364047E+06  8.052213E+04  4.129340E+03  1.032335E+02  4.129340E+02  3.406706E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.640699E-02  2.299844E+06  7.646979E+04  6.053017E+03  4.035345E+02  8.070690E+02  3.127392E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.678915E-02  2.205692E+06  8.212316E+04  4.535013E+03  9.858723E+01  6.901106E+02  3.351966E+03  0.000000E+00  9.858723E+01  0.000000E+00
1.718022E-02  2.204427E+06  8.073553E+04  4.431783E+03  3.853725E+02  7.707449E+02  3.275666E+03  0.000000E+00  9.634311E+01  0.000000E+00
1.758040E-02  2.167241E+06  7.174236E+04  5.272404E+03  3.766003E+02  4.707504E+02  3.295253E+03  0.000000E+00  1.883002E+02  0.000000E+00
1.798990E-02  2.105579E+06  7.056934E+04  5.060383E+03  2.760209E+02  4.600348E+02  3.864292E+03  0.000000E+00  9.200696E+01  0.000000E+00
1.840894E-02  2.067451E+06  6.824368E+04  4.495631E+03  8.991262E+01  4.495631E+02  2.787291E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.883774E-02  1.988934E+06  7.345594E+04  5.184092E+03  1.757319E+02  3.514639E+02  2.987443E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.927653E-02  1.982987E+06  6.852098E+04  4.379160E+03  0.000000E+00  8.586589E+02  2.404245E+03  0.000000E+00  3.434636E+02  0.000000E+00
1.972553E-02  1.919975E+06  6.863948E+04  4.531213E+03  2.517340E+02  4.195567E+02  3.020808E+03  0.000000E+00  8.391134E+01  0.000000E+00
2.018500E-02  1.897018E+06  6.117296E+04  3.608057E+03  3.280052E+02  3.280052E+02  3.280052E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.065517E-02  1.850711E+06  6.498925E+04  3.766331E+03  4.808083E+02  3.205388E+02  3.606062E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.113629E-02  1.794253E+06  6.037749E+04  4.307084E+03  3.915531E+02  3.132425E+02  2.740872E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.162862E-02  1.757314E+06  6.489579E+04  3.596819E+03  2.295842E+02  3.826403E+02  2.908066E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.213241E-02  1.723445E+06  6.162372E+04  4.487164E+03  1.495721E+02  5.235024E+02  2.692298E+03  0.000000E+00  1.495721E+02  0.000000E+00
2.264794E-02  1.670694E+06  5.656680E+04  4.092689E+03  1.461674E+02  4.385023E+02  2.631014E+03  0.000000E+00  7.308372E+01  0.000000E+00
2.317548E-02  1.632664E+06  5.577913E+04  4.499469E+03  2.856805E+02  4.999410E+02  2.713965E+03  0.000000E+00  7.142014E+01  0.000000E+00
