# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Sr86  Sr87  Sr88
4.217245E-02  1.073634E+07  1.168206E+05  1.054294E+06  1.830351E+06  2.472137E+04  2.472137E+04  2.370343E+05
4.315477E-02  1.051090E+07  1.236354E+05  1.027453E+06  1.774476E+06  2.747453E+04  1.800056E+04  2.340072E+05
4.415997E-02  1.031562E+07  1.166549E+05  9.415714E+05  1.698902E+06  2.314581E+04  1.990539E+04  2.286806E+05
4.518859E-02  1.000843E+07  1.094757E+05  9.622099E+05  1.696873E+06  2.035705E+04  2.126181E+04  2.080943E+05
4.624117E-02  9.806693E+06  1.175937E+05  9.800946E+05  1.665763E+06  2.785113E+04  1.370453E+04  2.192724E+05
4.731826E-02  9.614571E+06  1.054125E+05  9.271116E+05  1.667591E+06  2.462505E+04  1.944083E+04  2.224895E+05
4.842045E-02  9.417670E+06  1.030130E+05  9.241619E+05  1.615700E+06  2.279796E+04  1.984267E+04  2.157363E+05
4.954830E-02  9.178131E+06  9.984301E+04  9.274673E+05  1.586761E+06  2.145387E+04  1.980357E+04  2.170142E+05
5.070243E-02  8.977678E+06  8.870028E+04  8.986951E+05  1.516775E+06  1.653051E+04  2.499735E+04  1.919152E+05
5.188344E-02  8.758743E+06  1.032294E+05  8.924225E+05  1.503525E+06  1.694224E+04  2.127630E+04  2.222191E+05
5.309196E-02  8.601339E+06  8.509315E+04  8.674881E+05  1.503184E+06  2.156206E+04  2.079199E+04  1.932885E+05
5.432863E-02  8.393508E+06  8.089856E+04  8.631688E+05  1.454669E+06  1.768480E+04  1.617971E+04  1.783531E+05
5.559411E-02  8.140673E+06  9.486850E+04  8.365342E+05  1.423395E+06  1.838537E+04  1.728225E+04  2.066515E+05
5.688906E-02  7.955728E+06  7.869487E+04  7.808400E+05  1.387761E+06  1.796687E+04  1.760753E+04  1.965575E+05
5.821418E-02  7.770420E+06  8.708713E+04  7.936166E+05  1.374432E+06  1.720673E+04  2.247410E+04  1.994576E+05
5.957016E-02  7.593887E+06  9.025226E+04  7.923668E+05  1.284465E+06  1.681506E+04  1.612873E+04  1.866815E+05
6.095773E-02  7.422035E+06  8.014939E+04  7.656111E+05  1.311901E+06  1.240806E+04  1.609695E+04  1.747190E+05
6.237762E-02  7.310440E+06  8.455164E+04  7.216384E+05  1.298752E+06  1.769685E+04  2.031861E+04  1.822121E+05
6.383058E-02  7.144354E+06  8.006493E+04  6.802316E+05  1.280398E+06  1.665351E+04  2.305870E+04  1.706984E+05
6.531738E-02  6.936035E+06  7.980728E+04  6.922890E+05  1.278168E+06  1.627443E+04  1.721333E+04  1.802706E+05
6.683882E-02  6.809348E+06  7.370880E+04  6.875410E+05  1.251215E+06  1.682151E+04  1.468059E+04  1.835074E+05
6.839570E-02  6.576339E+06  7.980196E+04  6.641197E+05  1.206893E+06  1.882968E+04  1.434642E+04  1.775370E+05
6.998884E-02  6.488273E+06  7.652505E+04  6.636065E+05  1.184094E+06  1.548026E+04  1.255945E+04  1.705749E+05
7.161909E-02  6.280926E+06  6.964535E+04  6.616309E+05  1.169985E+06  1.626961E+04  1.883850E+04  1.581292E+05
7.328731E-02  6.280212E+06  7.391766E+04  6.231398E+05  1.095934E+06  1.478353E+04  1.813075E+04  1.584348E+05
7.499439E-02  6.166696E+06  6.623821E+04  6.078651E+05  1.079438E+06  1.799063E+04  1.580994E+04  1.657318E+05
7.674123E-02  5.888073E+06  6.686149E+04  6.028189E+05  1.067386E+06  1.331902E+04  1.758111E+04  1.654222E+05
7.852877E-02  5.753003E+06  6.638080E+04  5.794654E+05  1.061052E+06  1.275553E+04  1.639996E+04  1.629584E+05
8.035794E-02  5.673181E+06  6.537857E+04  5.950213E+05  1.051399E+06  1.195639E+04  1.526348E+04  1.539068E+05
8.222971E-02  5.558711E+06  6.314457E+04  5.558711E+05  1.004595E+06  1.267863E+04  1.441884E+04  1.397136E+05
8.414509E-02  5.344721E+06  5.927781E+04  5.667833E+05  9.853721E+05  1.506239E+04  1.724887E+04  1.494092E+05
8.610508E-02  5.351262E+06  6.196448E+04  5.434356E+05  9.722014E+05  1.519436E+04  1.282024E+04  1.448212E+05
8.811073E-02  5.166579E+06  6.658620E+04  5.282814E+05  9.788403E+05  1.252841E+04  1.624054E+04  1.473249E+05
9.016309E-02  5.012243E+06  5.917562E+04  5.307668E+05  9.370607E+05  1.428377E+04  1.451050E+04  1.453317E+05
9.226326E-02  4.944236E+06  5.494827E+04  5.177988E+05  9.106346E+05  1.240767E+04  1.196454E+04  1.242983E+05
9.441234E-02  4.797914E+06  5.196531E+04  5.146731E+05  8.779973E+05  1.364090E+04  1.342437E+04  1.340272E+05
9.661149E-02  4.717900E+06  5.332156E+04  4.991491E+05  8.749391E+05  1.375358E+04  1.565792E+04  1.362662E+05
9.886186E-02  4.567291E+06  5.293492E+04  4.898548E+05  8.694975E+05  1.137274E+04  1.468117E+04  1.321305E+05
1.011646E-01  4.488788E+06  5.031549E+04  4.829478E+05  8.862800E+05  1.192214E+04  1.656976E+04  1.301332E+05
1.035211E-01  4.424328E+06  5.035499E+04  4.567494E+05  8.457663E+05  1.066341E+04  1.145329E+04  1.273685E+05
1.059324E-01  4.318407E+06  4.824389E+04  4.673868E+05  8.164796E+05  9.069852E+03  1.312234E+04  1.250482E+05
1.083999E-01  4.165419E+06  5.280321E+04  4.405297E+05  7.984600E+05  8.674814E+03  1.056064E+04  1.218246E+05
1.109248E-01  4.136026E+06  4.680972E+04  4.574084E+05  7.917108E+05  1.290032E+04  1.326890E+04  1.242116E+05
1.135086E-01  4.005679E+06  5.204753E+04  4.257452E+05  7.832344E+05  1.062562E+04  1.530810E+04  1.246259E+05
1.161526E-01  3.864164E+06  4.628690E+04  4.107742E+05  7.662857E+05  1.108774E+04  1.284769E+04  1.170372E+05
