# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  O16  Mg24  Mg25  Mg26  Cl35  Cl37
2.113629E-02  7.810223E+06  1.908952E+05  2.128687E+04  6.866734E+02  2.746693E+03  2.248855E+05  4.589398E+02
2.162862E-02  7.670690E+06  2.029904E+05  1.778263E+04  1.006564E+03  1.342086E+03  2.345295E+05  2.242465E+02
2.213241E-02  7.586252E+06  1.859102E+05  2.426342E+04  1.639420E+03  1.967304E+03  2.265678E+05  3.287131E+02
2.264794E-02  7.369990E+06  1.900093E+05  2.435195E+04  0.000000E+00  2.242943E+03  2.242943E+05  3.747691E+02
2.317548E-02  7.206926E+06  1.897548E+05  2.129262E+04  1.252507E+03  3.131268E+03  2.132393E+05  5.231976E+02
2.371531E-02  7.052056E+06  1.707475E+05  1.744195E+04  1.529996E+03  1.529996E+03  2.071614E+05  2.556441E+02
2.426771E-02  6.923229E+06  1.791212E+05  2.242753E+04  1.495169E+03  2.691304E+03  2.111178E+05  4.496848E+02
2.483298E-02  6.660436E+06  1.721217E+05  1.957920E+04  1.461135E+03  1.461135E+03  2.156635E+05  2.441382E+02
2.541141E-02  6.635050E+06  1.644912E+05  1.827680E+04  5.711500E+02  2.570175E+03  1.933343E+05  4.294457E+02
2.600332E-02  6.393039E+06  1.671656E+05  2.148874E+04  5.581491E+02  1.395373E+03  1.897707E+05  2.331502E+02
2.660901E-02  6.312424E+06  1.510880E+05  2.045415E+04  1.363610E+03  5.454440E+02  1.808147E+05  9.113720E+01
2.722882E-02  6.080253E+06  1.633732E+05  2.052159E+04  1.066056E+03  1.066056E+03  1.969539E+05  1.781253E+02
2.786306E-02  6.056707E+06  1.494969E+05  1.718954E+04  5.208950E+02  2.083580E+03  1.786670E+05  3.481414E+02
2.851207E-02  5.739403E+06  1.516933E+05  1.501662E+04  7.635570E+02  1.527114E+03  1.898712E+05  2.551626E+02
2.917620E-02  5.702777E+06  1.514738E+05  1.716206E+04  0.000000E+00  9.949018E+02  1.748540E+05  1.662362E+02
2.985580E-02  5.529457E+06  1.526440E+05  1.458383E+04  9.722550E+02  4.861275E+02  1.699016E+05  8.122612E+01
3.055124E-02  5.465825E+06  1.434687E+05  2.019013E+04  7.125929E+02  1.425186E+03  1.669843E+05  2.381316E+02
3.126287E-02  5.271538E+06  1.483273E+05  2.158754E+04  2.321241E+02  6.963723E+02  1.583086E+05  1.163555E+02
3.199107E-02  5.177857E+06  1.567466E+05  1.497146E+04  1.814722E+03  1.361042E+03  1.728523E+05  2.274139E+02
3.273624E-02  5.046250E+06  1.254691E+05  1.551737E+04  6.650303E+02  1.995091E+03  1.549521E+05  3.333560E+02
3.349876E-02  5.007854E+06  1.193636E+05  1.689720E+04  1.083154E+03  8.665232E+02  1.616066E+05  1.447857E+02
3.427905E-02  4.810875E+06  1.297719E+05  1.566578E+04  6.350991E+02  1.693597E+03  1.575046E+05  2.829800E+02
3.507751E-02  4.714607E+06  1.206115E+05  1.199909E+04  2.068808E+02  1.241285E+03  1.489542E+05  2.074039E+02
3.589457E-02  4.675219E+06  1.243356E+05  1.354550E+04  6.065149E+02  1.010858E+03  1.475853E+05  1.689024E+02
3.673066E-02  4.516244E+06  1.082682E+05  1.244689E+04  1.185418E+03  3.951393E+02  1.388915E+05  6.602307E+01
3.758623E-02  4.407071E+06  1.104374E+05  1.100513E+04  3.861448E+02  1.351507E+03  1.449974E+05  2.258207E+02
3.846173E-02  4.324112E+06  1.073575E+05  1.471685E+04  5.660326E+02  7.547102E+02  1.518854E+05  1.261031E+02
3.935762E-02  4.253341E+06  1.052825E+05  1.290679E+04  7.375309E+02  7.375309E+02  1.336775E+05  1.232326E+02
4.027437E-02  4.100125E+06  1.102736E+05  1.225262E+04  5.405570E+02  1.801857E+03  1.327968E+05  3.010688E+02
4.121248E-02  4.040074E+06  1.021288E+05  1.250197E+04  1.408673E+03  1.408673E+03  1.301262E+05  2.353725E+02
4.217245E-02  3.993195E+06  1.123656E+05  1.324985E+04  6.883039E+02  1.032456E+03  1.299174E+05  1.725111E+02
4.315477E-02  3.851010E+06  1.025770E+05  1.496615E+04  6.726361E+02  1.513431E+03  1.271282E+05  2.528763E+02
4.415997E-02  3.781755E+06  1.004064E+05  1.281784E+04  0.000000E+00  1.314650E+03  1.280141E+05  2.196624E+02
4.518859E-02  3.669175E+06  1.010115E+05  1.284725E+04  3.211813E+02  3.211813E+02  1.170706E+05  5.366556E+01
4.624117E-02  3.590362E+06  1.024786E+05  1.020078E+04  3.138703E+02  1.412416E+03  1.283729E+05  2.359979E+02
4.731826E-02  3.553724E+06  1.016796E+05  1.334257E+04  6.134515E+02  1.380266E+03  1.150221E+05  2.306260E+02
4.842045E-02  3.445855E+06  9.711699E+04  1.004142E+04  1.498719E+02  4.496157E+02  1.185487E+05  7.512543E+01
4.954830E-02  3.389826E+06  9.666386E+04  1.069161E+04  4.393812E+02  1.318144E+03  1.143856E+05  2.202461E+02
5.070243E-02  3.269583E+06  8.830908E+04  1.331077E+04  2.862531E+02  1.001886E+03  1.140719E+05  1.674032E+02
5.188344E-02  3.249847E+06  8.643879E+04  1.174896E+04  5.594744E+02  1.118949E+03  1.120347E+05  1.869630E+02
5.309196E-02  3.146757E+06  8.898180E+04  9.841305E+03  5.467392E+02  1.093478E+03  1.094845E+05  1.827072E+02
5.432863E-02  3.068450E+06  9.176497E+04  1.095302E+04  1.335735E+02  1.469308E+03  1.079274E+05  2.455039E+02
5.559411E-02  2.979154E+06  8.993721E+04  1.240063E+04  7.831978E+02  1.435863E+03  1.058622E+05  2.399155E+02
5.688906E-02  2.935832E+06  8.138435E+04  7.908824E+03  3.826850E+02  7.653700E+02  1.089377E+05  1.278842E+02
5.821418E-02  2.883714E+06  7.816058E+04  1.047127E+04  7.479481E+02  6.232901E+02  1.019703E+05  1.041443E+02
5.957016E-02  2.819534E+06  7.991422E+04  8.527432E+03  2.436409E+02  2.436409E+02  9.818728E+04  4.070949E+01
6.095773E-02  2.725235E+06  7.714277E+04  9.404751E+03  8.333324E+02  9.523798E+02  1.051189E+05  1.591313E+02
6.237762E-02  2.654592E+06  7.585213E+04  1.128475E+04  3.490129E+02  8.143634E+02  9.551319E+04  1.360704E+02
6.383058E-02  2.575066E+06  7.310232E+04  7.162436E+03  4.547578E+02  1.023205E+03  9.538546E+04  1.709654E+02
6.531738E-02  2.530449E+06  7.510466E+04  1.011024E+04  6.666094E+02  8.888126E+02  9.210320E+04  1.485100E+02
6.683882E-02  2.501947E+06  7.415508E+04  9.337243E+03  6.514356E+02  8.685807E+02  9.033240E+04  1.451295E+02
6.839570E-02  2.463563E+06  6.546443E+04  8.275892E+03  1.061012E+02  9.549106E+02  9.326294E+04  1.595542E+02
6.998884E-02  2.384364E+06  6.822540E+04  9.228056E+03  4.147441E+02  9.331742E+02  9.238424E+04  1.559223E+02
