# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Co59
2.213241E-01  2.179115E+05  1.178796E+04  2.367059E+02  0.000000E+00  2.177695E+03
2.264794E-01  2.114430E+05  1.185273E+04  2.498233E+02  0.000000E+00  2.368695E+03
2.317548E-01  2.052556E+05  1.189940E+04  3.435997E+02  0.000000E+00  2.477534E+03
2.371531E-01  2.014317E+05  1.207035E+04  2.474156E+02  0.000000E+00  2.085360E+03
2.426771E-01  1.999379E+05  1.109615E+04  3.454054E+02  0.000000E+00  2.435108E+03
2.483298E-01  1.934797E+05  1.057353E+04  3.037887E+02  0.000000E+00  1.974627E+03
2.541141E-01  1.888116E+05  1.080290E+04  2.226552E+02  0.000000E+00  2.053376E+03
2.600332E-01  1.833614E+05  1.066176E+04  2.981747E+02  0.000000E+00  2.054988E+03
2.660901E-01  1.805972E+05  1.046632E+04  2.441354E+02  0.000000E+00  1.905832E+03
2.722882E-01  1.751241E+05  1.000489E+04  2.693625E+02  0.000000E+00  1.893234E+03
2.786306E-01  1.742891E+05  9.980219E+03  1.504178E+02  0.000000E+00  1.887743E+03
2.851207E-01  1.691752E+05  9.782440E+03  2.351901E+02  0.000000E+00  2.072613E+03
2.917620E-01  1.647354E+05  9.796783E+03  2.513837E+02  0.000000E+00  1.781233E+03
2.985580E-01  1.592589E+05  9.468498E+03  2.105670E+02  0.000000E+00  1.782801E+03
3.055124E-01  1.570192E+05  9.671376E+03  2.537879E+02  0.000000E+00  1.790233E+03
3.126287E-01  1.521246E+05  9.364089E+03  1.608720E+02  0.000000E+00  1.675750E+03
3.199107E-01  1.511313E+05  9.203340E+03  2.292647E+02  0.000000E+00  1.762063E+03
3.273624E-01  1.465197E+05  9.045057E+03  2.048420E+02  0.000000E+00  1.830776E+03
3.349876E-01  1.417332E+05  8.801633E+03  2.189461E+02  0.000000E+00  1.451300E+03
3.427905E-01  1.399986E+05  8.607396E+03  2.445283E+02  0.000000E+00  1.699472E+03
3.507751E-01  1.375526E+05  8.530949E+03  1.792216E+02  0.000000E+00  1.678709E+03
3.589457E-01  1.325066E+05  8.325085E+03  1.809801E+02  0.000000E+00  1.663849E+03
3.673066E-01  1.323544E+05  8.335264E+03  2.339123E+02  0.000000E+00  1.665912E+03
3.758623E-01  1.280649E+05  7.911367E+03  1.951359E+02  0.000000E+00  1.561087E+03
3.846173E-01  1.249482E+05  7.671350E+03  2.124877E+02  0.000000E+00  1.601830E+03
3.935762E-01  1.224821E+05  7.842813E+03  1.810290E+02  0.000000E+00  1.565368E+03
4.027437E-01  1.193974E+05  7.679899E+03  2.237369E+02  0.000000E+00  1.493314E+03
