# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
2.113629E-02  2.371412E+07  2.510206E+04  2.416073E+05  9.821180E+05  9.204088E+04
2.162862E-02  2.337670E+07  2.350855E+04  2.647268E+05  1.008824E+06  9.301210E+04
2.213241E-02  2.281162E+07  3.296188E+04  2.916627E+05  9.888565E+05  8.689951E+04
2.264794E-02  2.240657E+07  2.049828E+04  2.528121E+05  9.331597E+05  8.394533E+04
2.317548E-02  2.169336E+07  2.575502E+04  2.565963E+05  9.262267E+05  9.920451E+04
2.371531E-02  2.113057E+07  2.050788E+04  2.656703E+05  1.003954E+06  8.016717E+04
2.426771E-02  2.068602E+07  2.550681E+04  2.769311E+05  9.300875E+05  8.745191E+04
2.483298E-02  2.011901E+07  2.759687E+04  2.670665E+05  9.160379E+05  8.190038E+04
2.541141E-02  1.983155E+07  2.870860E+04  2.253190E+05  8.821370E+05  9.047559E+04
2.600332E-02  1.950170E+07  2.890527E+04  2.380434E+05  8.722590E+05  6.461177E+04
2.660901E-02  1.895477E+07  3.738614E+04  2.259784E+05  8.432651E+05  6.812585E+04
2.722882E-02  1.842426E+07  2.841621E+04  2.127156E+05  8.200106E+05  7.063457E+04
2.786306E-02  1.793108E+07  2.935620E+04  2.205682E+05  7.743689E+05  7.220038E+04
2.851207E-02  1.760666E+07  2.015911E+04  2.217502E+05  7.621696E+05  8.994066E+04
2.917620E-02  1.749760E+07  2.803495E+04  2.159449E+05  7.652784E+05  6.895083E+04
2.985580E-02  1.704525E+07  1.925180E+04  2.132508E+05  7.671103E+05  7.404540E+04
3.055124E-02  1.655450E+07  2.243158E+04  1.932010E+05  7.605028E+05  6.222953E+04
3.126287E-02  1.607868E+07  2.969938E+04  1.944602E+05  7.106637E+05  5.869163E+04
3.199107E-02  1.589857E+07  2.073096E+04  1.886517E+05  6.785933E+05  6.150184E+04
3.273624E-02  1.551642E+07  2.025906E+04  1.951623E+05  7.070413E+05  6.753021E+04
3.349876E-02  1.511966E+07  2.243763E+04  2.045784E+05  6.539909E+05  6.995261E+04
3.427905E-02  1.463555E+07  2.257180E+04  1.896031E+05  6.558719E+05  5.933158E+04
3.507751E-02  1.455765E+07  2.079754E+04  1.878081E+05  6.730841E+05  6.491354E+04
3.589457E-02  1.414806E+07  1.478119E+04  1.847648E+05  6.275846E+05  6.097240E+04
3.673066E-02  1.376342E+07  2.226895E+04  1.739386E+05  5.928356E+05  5.717704E+04
3.758623E-02  1.339013E+07  2.940818E+04  1.764491E+05  6.305113E+05  5.705186E+04
3.846173E-02  1.305027E+07  1.896758E+04  1.534650E+05  5.983411E+05  5.517843E+04
3.935762E-02  1.288689E+07  1.235722E+04  1.567120E+05  5.661853E+05  5.055226E+04
4.027437E-02  1.258916E+07  1.976062E+04  1.597317E+05  5.703135E+05  5.818405E+04
4.121248E-02  1.225968E+07  1.501952E+04  1.442947E+05  5.632321E+05  4.774062E+04
4.217245E-02  1.209332E+07  1.677444E+04  1.436312E+05  5.215803E+05  5.451693E+04
4.315477E-02  1.182419E+07  1.280673E+04  1.280673E+05  5.404438E+05  5.327598E+04
4.415997E-02  1.142488E+07  1.351643E+04  1.336624E+05  5.301442E+05  4.605597E+04
4.518859E-02  1.122255E+07  1.614403E+04  1.443179E+05  5.293286E+05  4.696446E+04
4.624117E-02  1.090303E+07  1.338616E+04  1.395986E+05  4.972003E+05  4.015849E+04
4.731826E-02  1.066466E+07  1.541743E+04  1.331505E+05  4.914890E+05  4.064596E+04
4.842045E-02  1.038720E+07  1.415337E+04  1.269237E+05  4.844104E+05  4.474290E+04
4.954830E-02  1.008160E+07  2.007754E+04  1.400966E+05  4.894459E+05  4.193976E+04
5.070243E-02  9.908800E+06  1.569642E+04  1.229553E+05  4.739446E+05  4.883330E+04
5.188344E-02  9.733953E+06  9.373910E+03  1.141913E+05  4.243825E+05  4.857390E+04
5.309196E-02  9.605236E+06  1.707190E+04  1.186705E+05  4.317942E+05  4.538628E+04
5.432863E-02  9.260859E+06  1.139347E+04  1.200384E+05  4.183032E+05  4.313243E+04
5.559411E-02  9.157818E+06  1.033883E+04  1.169083E+05  4.079862E+05  4.175297E+04
5.688906E-02  8.899232E+06  1.282366E+04  1.095840E+05  4.115229E+05  3.652800E+04
5.821418E-02  8.701218E+06  1.291151E+04  9.949457E+04  4.207633E+05  4.405103E+04
5.957016E-02  8.514658E+06  1.558646E+04  1.053941E+05  4.193499E+05  4.156388E+04
6.095773E-02  8.404252E+06  1.269305E+04  1.011818E+05  3.891328E+05  4.460702E+04
