# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
1.244597E-02  6.634027E+07  3.148132E+06  3.530616E+04  2.115427E+06  2.559696E+05
1.273587E-02  6.559499E+07  2.981590E+06  2.587687E+04  1.946516E+06  2.041397E+05
1.303253E-02  6.368321E+07  2.995204E+06  4.495616E+04  2.247808E+06  2.444491E+05
1.333610E-02  6.284591E+07  2.668919E+06  6.040764E+04  2.103284E+06  1.949519E+05
1.364674E-02  6.114435E+07  2.677933E+06  3.488290E+04  1.840744E+06  2.388137E+05
1.396461E-02  6.012752E+07  2.745465E+06  2.097776E+04  1.851288E+06  2.307554E+05
1.428989E-02  5.879216E+07  2.731659E+06  4.100050E+04  1.970587E+06  2.075650E+05
1.462274E-02  5.685288E+07  2.581831E+06  4.257142E+04  1.865630E+06  2.028403E+05
1.496335E-02  5.642995E+07  2.501037E+06  3.181358E+04  1.776666E+06  2.226951E+05
1.531189E-02  5.419124E+07  2.341272E+06  2.391493E+04  1.841450E+06  2.176259E+05
1.566855E-02  5.336435E+07  2.367438E+06  3.739290E+04  1.736433E+06  2.430539E+05
1.603352E-02  5.174310E+07  2.441445E+06  3.425788E+04  1.690055E+06  2.261020E+05
1.640699E-02  5.082864E+07  2.332306E+06  1.339123E+04  1.560078E+06  1.807816E+05
1.678915E-02  4.972399E+07  2.279216E+06  3.707816E+04  1.570369E+06  2.028393E+05
1.718022E-02  4.831718E+07  2.214546E+06  3.410273E+04  1.622011E+06  2.323249E+05
1.758040E-02  4.787138E+07  2.089152E+06  2.707775E+04  1.485110E+06  1.624665E+05
1.798990E-02  4.620768E+07  2.188153E+06  2.646138E+04  1.551044E+06  1.404489E+05
1.840894E-02  4.535876E+07  2.017006E+06  3.580484E+04  1.479933E+06  1.989158E+05
1.883774E-02  4.433016E+07  2.050792E+06  4.470921E+04  1.385986E+06  1.710613E+05
1.927653E-02  4.348445E+07  1.952820E+06  2.469520E+04  1.392429E+06  1.709668E+05
1.972553E-02  4.222916E+07  1.897231E+06  1.485112E+04  1.538947E+06  1.559368E+05
2.018500E-02  4.133140E+07  1.776037E+06  2.902613E+04  1.356972E+06  1.542013E+05
2.065517E-02  4.021862E+07  1.889846E+06  2.304690E+04  1.404088E+06  1.613283E+05
2.113629E-02  3.986272E+07  1.786191E+06  1.039490E+04  1.422369E+06  1.715159E+05
2.162862E-02  3.832721E+07  1.791245E+06  3.555400E+04  1.213915E+06  1.506812E+05
2.213241E-02  3.782705E+07  1.628037E+06  2.481764E+04  1.262391E+06  1.472513E+05
2.264794E-02  3.638393E+07  1.652419E+06  2.425272E+04  1.220720E+06  1.843207E+05
2.317548E-02  3.600920E+07  1.665366E+06  1.580044E+04  1.181873E+06  1.516842E+05
2.371531E-02  3.474484E+07  1.622826E+06  2.161709E+04  1.258423E+06  1.297025E+05
2.426771E-02  3.431911E+07  1.597957E+06  2.263396E+04  1.143769E+06  1.629645E+05
2.483298E-02  3.357920E+07  1.533566E+06  2.211874E+04  1.114785E+06  1.327125E+05
2.541141E-02  3.291428E+07  1.533242E+06  1.585119E+04  1.157137E+06  1.441017E+05
2.600332E-02  3.202001E+07  1.471585E+06  2.816432E+04  1.068836E+06  1.253312E+05
2.660901E-02  3.130491E+07  1.405060E+06  1.926625E+04  1.021111E+06  1.444969E+05
2.722882E-02  3.098501E+07  1.457802E+06  1.882770E+04  1.027454E+06  1.317939E+05
2.786306E-02  2.957397E+07  1.440389E+06  1.051379E+04  9.646400E+05  1.182801E+05
