# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Na23  S32  S34
9.886186E-02  1.487381E+06  6.526284E+04  8.198522E+03  5.856087E+02  0.000000E+00
1.011646E-01  1.461536E+06  6.523976E+04  8.139074E+03  1.080971E+03  0.000000E+00
1.035211E-01  1.432120E+06  5.971568E+04  6.835302E+03  8.699475E+02  0.000000E+00
1.059324E-01  1.382397E+06  6.157479E+04  7.347682E+03  1.214493E+03  0.000000E+00
1.083999E-01  1.354490E+06  6.052923E+04  7.833195E+03  1.008821E+03  0.000000E+00
1.109248E-01  1.332357E+06  5.723770E+04  7.828865E+03  1.217823E+03  0.000000E+00
1.135086E-01  1.309396E+06  5.808833E+04  6.857256E+03  7.934015E+02  0.000000E+00
1.161526E-01  1.275769E+06  5.432929E+04  6.645784E+03  1.163012E+03  0.000000E+00
1.188581E-01  1.248677E+06  5.184782E+04  6.819233E+03  7.035717E+02  0.000000E+00
1.216267E-01  1.207243E+06  5.161962E+04  6.452453E+03  1.057779E+03  0.000000E+00
1.244597E-01  1.182968E+06  5.225359E+04  6.512317E+03  9.820161E+02  0.000000E+00
1.273587E-01  1.159172E+06  4.818517E+04  6.667130E+03  1.464748E+03  0.000000E+00
1.303253E-01  1.144187E+06  5.019795E+04  5.972421E+03  7.897416E+02  0.000000E+00
1.333610E-01  1.097787E+06  4.973060E+04  6.270589E+03  1.061177E+03  0.000000E+00
1.364674E-01  1.085007E+06  4.520470E+04  5.750755E+03  1.084159E+03  0.000000E+00
1.396461E-01  1.063672E+06  4.804512E+04  5.159208E+03  7.370297E+02  0.000000E+00
1.428989E-01  1.027981E+06  4.506082E+04  5.626975E+03  8.102845E+02  0.000000E+00
1.462274E-01  1.000930E+06  4.557480E+04  5.410908E+03  6.598668E+02  0.000000E+00
1.496335E-01  9.834767E+05  4.595605E+04  5.932587E+03  8.597952E+02  0.000000E+00
1.531189E-01  9.636947E+05  4.533008E+04  5.671511E+03  8.822350E+02  0.000000E+00
1.566855E-01  9.339579E+05  4.483195E+04  5.911906E+03  8.210980E+02  0.000000E+00
1.603352E-01  9.186363E+05  4.188567E+04  5.095288E+03  9.628891E+02  0.000000E+00
1.640699E-01  8.959220E+05  4.253973E+04  5.959483E+03  1.097800E+03  0.000000E+00
1.678915E-01  8.798962E+05  4.325725E+04  5.785514E+03  7.662933E+02  0.000000E+00
1.718022E-01  8.561980E+05  3.834113E+04  5.204510E+03  5.241952E+02  0.000000E+00
1.758040E-01  8.387210E+05  4.006629E+04  5.525123E+03  6.220337E+02  0.000000E+00
1.798990E-01  8.103682E+05  4.187183E+04  4.505423E+03  7.151465E+02  0.000000E+00
1.840894E-01  8.045366E+05  3.752920E+04  5.311395E+03  7.338111E+02  0.000000E+00
1.883774E-01  7.765933E+05  3.715300E+04  4.746569E+03  9.561434E+02  0.000000E+00
1.927653E-01  7.655901E+05  3.577336E+04  5.572903E+03  6.674135E+02  0.000000E+00
1.972553E-01  7.449998E+05  3.600262E+04  4.402494E+03  8.478877E+02  0.000000E+00
2.018500E-01  7.331406E+05  3.610729E+04  4.557231E+03  6.373750E+02  0.000000E+00
2.065517E-01  7.145836E+05  3.447566E+04  4.173206E+03  5.294366E+02  0.000000E+00
