# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
7.328731E-03  1.294809E+07  3.615669E+06  2.677039E+05  3.287981E+05  2.499310E+04  1.332965E+04  7.675659E+05  7.775631E+03
7.499439E-03  1.254318E+07  3.489402E+06  2.681233E+05  3.050310E+05  1.411175E+04  1.411175E+04  7.511795E+05  7.598636E+03
7.674123E-03  1.217439E+07  3.440207E+06  2.694457E+05  3.235471E+05  1.803377E+04  1.432094E+04  6.895265E+05  1.219932E+04
7.852877E-03  1.182729E+07  3.340128E+06  2.456891E+05  2.970040E+05  1.865993E+04  1.503161E+04  6.950826E+05  7.774973E+03
8.035794E-03  1.151906E+07  3.249915E+06  2.360443E+05  3.226614E+05  2.279398E+04  1.519599E+04  6.676103E+05  7.597993E+03
8.222971E-03  1.136972E+07  3.132377E+06  2.400763E+05  2.945266E+05  1.683009E+04  1.386008E+04  6.781538E+05  7.920044E+03
8.414509E-03  1.111623E+07  3.126864E+06  2.409001E+05  2.907248E+05  2.805664E+04  1.257711E+04  6.902900E+05  8.223497E+03
8.610508E-03  1.074218E+07  2.967761E+06  2.410892E+05  2.675618E+05  2.079985E+04  1.039993E+04  6.405410E+05  1.087265E+04
8.811073E-03  1.050135E+07  2.979664E+06  2.138891E+05  2.845695E+05  1.801657E+04  1.016320E+04  6.268844E+05  8.777306E+03
9.016309E-03  1.022755E+07  2.907776E+06  2.108262E+05  2.699658E+05  1.850936E+04  1.309199E+04  5.941054E+05  1.038330E+04
9.226326E-03  1.002827E+07  2.810264E+06  1.949979E+05  2.863204E+05  1.985273E+04  1.147046E+04  6.158757E+05  1.102929E+04
9.441234E-03  9.733177E+06  2.821742E+06  2.129779E+05  2.371212E+05  1.595179E+04  9.484846E+03  6.104792E+05  7.760329E+03
9.661149E-03  9.495613E+06  2.742765E+06  2.068660E+05  2.452057E+05  1.474605E+04  8.847629E+03  5.679335E+05  7.162367E+03
9.886186E-03  9.146067E+06  2.705859E+06  1.856881E+05  2.560932E+05  1.564556E+04  1.152831E+04  5.924728E+05  9.881409E+03
1.011646E-02  8.880341E+06  2.598800E+06  1.947390E+05  2.530803E+05  1.850825E+04  8.047067E+03  5.532359E+05  6.840007E+03
1.035211E-02  8.701005E+06  2.537285E+06  2.017089E+05  2.520378E+05  1.533459E+04  9.829867E+03  5.343516E+05  5.504725E+03
1.059324E-02  8.473743E+06  2.510653E+06  1.902010E+05  2.286255E+05  1.421705E+04  9.990356E+03  5.414005E+05  6.147911E+03
1.083999E-02  8.337182E+06  2.414828E+06  1.877490E+05  2.346862E+05  2.140339E+04  8.636454E+03  5.317052E+05  7.885458E+03
1.109248E-02  8.207584E+06  2.399490E+06  1.743015E+05  2.135653E+05  1.467802E+04  1.247632E+04  5.207029E+05  4.403407E+03
1.135086E-02  8.016812E+06  2.375352E+06  1.739199E+05  2.137243E+05  1.470251E+04  1.039934E+04  4.962994E+05  3.944576E+03
1.161526E-02  7.725342E+06  2.269418E+06  1.815254E+05  2.039532E+05  1.191479E+04  9.111313E+03  5.053274E+05  3.153916E+03
1.188581E-02  7.593669E+06  2.211253E+06  1.565034E+05  1.928040E+05  1.404079E+04  7.876540E+03  4.599214E+05  3.424582E+03
1.216267E-02  7.400067E+06  2.185014E+06  1.686701E+05  2.115070E+05  1.104388E+04  9.705225E+03  5.056757E+05  6.023933E+03
1.244597E-02  7.203495E+06  2.132007E+06  1.687553E+05  2.044032E+05  1.210067E+04  5.559766E+03  4.696367E+05  4.905676E+03
1.273587E-02  7.114310E+06  2.091147E+06  1.623571E+05  1.901624E+05  1.502123E+04  6.392013E+03  4.637405E+05  6.711613E+03
1.303253E-02  6.953930E+06  2.080713E+06  1.664696E+05  1.936419E+05  1.155605E+04  6.246513E+03  4.547461E+05  3.123256E+03
1.333610E-02  6.770612E+06  2.021752E+06  1.657324E+05  1.840454E+05  1.556603E+04  6.104325E+03  4.599609E+05  8.851271E+03
1.364674E-02  6.622757E+06  1.967380E+06  1.476430E+05  1.789612E+05  1.342209E+04  9.246328E+03  4.211553E+05  8.053254E+03
1.396461E-02  6.411960E+06  1.890826E+06  1.486544E+05  1.830490E+05  1.165917E+04  6.412543E+03  4.278915E+05  4.663668E+03
1.428989E-02  6.222425E+06  1.885670E+06  1.518220E+05  1.774580E+05  1.680582E+04  5.127198E+03  4.229939E+05  5.127198E+03
1.462274E-02  6.149819E+06  1.811292E+06  1.553252E+05  1.739753E+05  1.252622E+04  7.794094E+03  4.122519E+05  3.897047E+03
1.496335E-02  6.055804E+06  1.806785E+06  1.305716E+05  1.759997E+05  1.496133E+04  6.256558E+03  4.262620E+05  5.168461E+03
1.531189E-02  5.862930E+06  1.740669E+06  1.313211E+05  1.669426E+05  1.249411E+04  5.582477E+03  3.950267E+05  3.455819E+03
1.566855E-02  5.709730E+06  1.700008E+06  1.387231E+05  1.719751E+05  1.428796E+04  9.611902E+03  3.779816E+05  4.676061E+03
1.603352E-02  5.634088E+06  1.688982E+06  1.279494E+05  1.609522E+05  1.117018E+04  5.585092E+03  4.006034E+05  4.061885E+03
1.640699E-02  5.471604E+06  1.665174E+06  1.302468E+05  1.617541E+05  1.538152E+04  7.194583E+03  3.562559E+05  3.225158E+03
1.678915E-02  5.392635E+06  1.588964E+06  1.309186E+05  1.544355E+05  8.727907E+03  5.818605E+03  3.554198E+05  6.061047E+03
1.718022E-02  5.246191E+06  1.567484E+06  1.132493E+05  1.675047E+05  1.184616E+04  6.633850E+03  3.527787E+05  3.080002E+03
1.758040E-02  5.131635E+06  1.563060E+06  1.324353E+05  1.548937E+05  1.250263E+04  6.019785E+03  3.690591E+05  5.093664E+03
1.798990E-02  5.003512E+06  1.511869E+06  1.199178E+05  1.468427E+05  1.131300E+04  7.692837E+03  3.504766E+05  4.298938E+03
1.840894E-02  4.978283E+06  1.493595E+06  1.165248E+05  1.415102E+05  9.728823E+03  5.527740E+03  3.427199E+05  2.874425E+03
1.883774E-02  4.805110E+06  1.453331E+06  1.188421E+05  1.471481E+05  1.058775E+04  4.321531E+03  3.280042E+05  4.537607E+03
1.927653E-02  4.662370E+06  1.413281E+06  1.144477E+05  1.450656E+05  1.119138E+04  6.334741E+03  3.439764E+05  3.800845E+03
1.972553E-02  4.562432E+06  1.364190E+06  1.099853E+05  1.289697E+05  8.460411E+03  5.158787E+03  3.165432E+05  3.095272E+03
2.018500E-02  4.469266E+06  1.362780E+06  9.921395E+04  1.349068E+05  1.008272E+04  5.444668E+03  3.270834E+05  3.024815E+03
2.065517E-02  4.362803E+06  1.328606E+06  1.036557E+05  1.245445E+05  9.853207E+03  3.350091E+03  2.955962E+05  3.744219E+03
2.113629E-02  4.254057E+06  1.270247E+06  9.821500E+04  1.228650E+05  7.703137E+03  3.466412E+03  2.994594E+05  3.851568E+03
2.162862E-02  4.179242E+06  1.284053E+06  9.899047E+04  1.251495E+05  7.527792E+03  4.328480E+03  3.125916E+05  3.199312E+03
2.213241E-02  4.026179E+06  1.231468E+06  1.015189E+05  1.274503E+05  8.827726E+03  4.965596E+03  3.071313E+05  2.942575E+03
2.264794E-02  3.988988E+06  1.208289E+06  9.669186E+04  1.171805E+05  7.368710E+03  3.774217E+03  2.911539E+05  3.953942E+03
2.317548E-02  3.900998E+06  1.182541E+06  9.853045E+04  1.138106E+05  1.018675E+04  3.863939E+03  2.940107E+05  3.512672E+03
2.371531E-02  3.825588E+06  1.167294E+06  9.474291E+04  1.134512E+05  6.693792E+03  3.089443E+03  2.857734E+05  4.462528E+03
2.426771E-02  3.746558E+06  1.136698E+06  9.007036E+04  1.115396E+05  7.883253E+03  4.193220E+03  2.779266E+05  3.857762E+03
2.483298E-02  3.637181E+06  1.088696E+06  9.293744E+04  1.130985E+05  7.703809E+03  4.917325E+03  2.852048E+05  4.425592E+03
2.541141E-02  3.532444E+06  1.092426E+06  8.841922E+04  1.100435E+05  7.688628E+03  4.164674E+03  2.609328E+05  3.684134E+03
2.600332E-02  3.473638E+06  1.091665E+06  9.266790E+04  1.034687E+05  7.357080E+03  4.696009E+03  2.656376E+05  3.600273E+03
2.660901E-02  3.406347E+06  1.030868E+06  8.765208E+04  1.096798E+05  7.954465E+03  4.589114E+03  2.530132E+05  3.365351E+03
2.722882E-02  3.315654E+06  1.018465E+06  8.221864E+04  1.025491E+05  7.324934E+03  3.587723E+03  2.545788E+05  4.185676E+03
2.786306E-02  3.223088E+06  1.011935E+06  8.502186E+04  1.000687E+05  6.719941E+03  4.528656E+03  2.422100E+05  4.236485E+03
2.851207E-02  3.146153E+06  9.806209E+05  7.951752E+04  1.015026E+05  6.281456E+03  4.140050E+03  2.521148E+05  2.855207E+03
2.917620E-02  3.056401E+06  9.362565E+05  7.449873E+04  9.305366E+04  6.417494E+03  3.766790E+03  2.414931E+05  3.208747E+03
2.985580E-02  2.993237E+06  9.420754E+05  7.839267E+04  9.925194E+04  7.089424E+03  2.863037E+03  2.331330E+05  1.908691E+03
3.055124E-02  2.943888E+06  9.218302E+05  8.073842E+04  8.873232E+04  8.393598E+03  3.464025E+03  2.291586E+05  3.996952E+03
