# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  Zr90  Zr91  Zr92  Zr94  Zr96
7.674123E-02  9.703166E+06  2.857449E+06  1.022590E+06  1.251320E+06  1.613940E+06  1.790787E+05
7.852877E-02  9.525909E+06  2.785864E+06  1.069641E+06  1.233194E+06  1.581018E+06  1.504693E+05
8.035794E-02  9.201453E+06  2.678230E+06  9.760328E+05  1.184345E+06  1.508802E+06  1.566341E+05
8.222971E-02  9.063851E+06  2.722956E+06  9.517330E+05  1.195914E+06  1.478622E+06  1.442178E+05
8.414509E-02  8.753740E+06  2.659448E+06  9.432975E+05  1.176324E+06  1.468369E+06  1.663745E+05
8.610508E-02  8.529620E+06  2.584492E+06  9.357473E+05  1.173413E+06  1.433951E+06  1.481683E+05
8.811073E-02  8.350039E+06  2.585427E+06  8.498235E+05  1.172941E+06  1.408112E+06  1.491686E+05
9.016309E-02  8.235467E+06  2.462948E+06  9.078766E+05  1.115378E+06  1.389830E+06  1.543200E+05
9.226326E-02  7.978865E+06  2.474167E+06  8.649378E+05  1.087204E+06  1.339169E+06  1.535914E+05
9.441234E-02  7.765048E+06  2.426464E+06  8.198556E+05  1.062003E+06  1.295989E+06  1.500952E+05
9.661149E-02  7.598930E+06  2.267980E+06  8.313268E+05  1.029409E+06  1.294406E+06  1.329414E+05
9.886186E-02  7.432886E+06  2.300366E+06  8.496459E+05  1.003812E+06  1.205614E+06  1.294822E+05
1.011646E-01  7.288661E+06  2.199336E+06  8.209953E+05  1.001276E+06  1.261540E+06  1.333059E+05
1.035211E-01  7.130195E+06  2.207999E+06  8.114055E+05  1.002884E+06  1.206356E+06  1.273766E+05
1.059324E-01  6.895550E+06  2.119345E+06  7.593915E+05  9.889468E+05  1.142522E+06  1.070989E+05
1.083999E-01  6.701463E+06  2.073867E+06  7.590884E+05  9.447135E+05  1.170623E+06  1.240134E+05
1.109248E-01  6.661232E+06  2.005047E+06  7.047575E+05  9.042973E+05  1.135100E+06  1.235062E+05
1.135086E-01  6.485842E+06  1.989957E+06  7.162488E+05  8.893706E+05  1.069659E+06  1.112656E+05
1.161526E-01  6.328255E+06  1.999580E+06  7.275890E+05  8.930841E+05  1.107601E+06  1.142617E+05
1.188581E-01  6.223828E+06  1.902916E+06  6.829317E+05  8.619491E+05  1.057896E+06  1.231870E+05
1.216267E-01  6.126860E+06  1.871920E+06  6.758342E+05  8.314169E+05  1.046487E+06  1.080631E+05
1.244597E-01  5.871816E+06  1.846165E+06  6.638902E+05  8.358825E+05  1.040897E+06  9.631568E+04
1.273587E-01  5.691768E+06  1.834731E+06  6.410467E+05  7.842485E+05  9.926643E+05  1.129479E+05
1.303253E-01  5.620024E+06  1.771615E+06  6.287542E+05  8.209283E+05  9.720395E+05  9.395177E+04
1.333610E-01  5.411520E+06  1.712990E+06  5.916492E+05  7.508776E+05  9.595439E+05  9.117112E+04
1.364674E-01  5.357356E+06  1.663331E+06  5.944949E+05  7.764512E+05  9.135458E+05  9.913478E+04
1.396461E-01  5.154778E+06  1.680346E+06  5.950651E+05  7.550981E+05  9.129850E+05  1.020900E+05
1.428989E-01  5.121029E+06  1.640898E+06  5.737302E+05  7.187357E+05  8.969965E+05  8.928021E+04
1.462274E-01  5.040765E+06  1.602961E+06  5.732600E+05  7.143792E+05  8.666239E+05  1.039363E+05
1.496335E-01  4.799561E+06  1.542726E+06  5.433303E+05  6.901067E+05  8.775113E+05  8.354526E+04
1.531189E-01  4.778663E+06  1.539484E+06  5.561267E+05  6.844636E+05  8.480303E+05  8.695596E+04
1.566855E-01  4.656499E+06  1.514551E+06  5.213355E+05  6.727086E+05  8.306394E+05  8.606954E+04
1.603352E-01  4.632745E+06  1.446698E+06  5.305628E+05  6.282911E+05  7.898363E+05  8.037212E+04
1.640699E-01  4.423437E+06  1.407244E+06  5.166592E+05  6.379958E+05  8.005608E+05  8.350047E+04
1.678915E-01  4.357683E+06  1.397141E+06  4.773586E+05  6.252582E+05  7.481679E+05  8.312976E+04
1.718022E-01  4.297862E+06  1.356367E+06  5.021275E+05  6.172555E+05  7.510731E+05  8.372945E+04
1.758040E-01  4.116990E+06  1.294809E+06  4.590398E+05  5.825056E+05  7.342201E+05  7.330025E+04
1.798990E-01  4.016374E+06  1.314121E+06  4.861914E+05  5.766235E+05  7.158413E+05  7.282163E+04
1.840894E-01  3.968207E+06  1.276999E+06  4.414029E+05  5.581490E+05  6.837326E+05  7.860599E+04
1.883774E-01  3.881062E+06  1.242476E+06  4.415824E+05  5.533984E+05  7.131681E+05  6.227153E+04
1.927653E-01  3.751408E+06  1.229074E+06  4.328633E+05  5.454655E+05  6.838308E+05  7.684490E+04
1.972553E-01  3.638452E+06  1.177223E+06  4.414585E+05  5.341344E+05  6.537232E+05  7.466162E+04
2.018500E-01  3.653620E+06  1.169303E+06  4.205926E+05  5.342778E+05  6.466903E+05  6.638704E+04
2.065517E-01  3.494592E+06  1.123410E+06  4.041788E+05  4.972436E+05  6.286535E+05  6.674132E+04
2.113629E-01  3.388916E+06  1.138956E+06  3.984220E+05  4.917990E+05  6.295351E+05  6.988083E+04
2.162862E-01  3.329986E+06  1.088090E+06  3.863837E+05  4.901055E+05  6.059018E+05  6.274776E+04
2.213241E-01  3.258829E+06  1.078797E+06  3.830047E+05  4.820443E+05  5.909492E+05  6.557505E+04
2.264794E-01  3.198070E+06  1.049514E+06  3.723961E+05  4.814685E+05  5.837357E+05  6.238108E+04
2.317548E-01  3.139128E+06  1.027657E+06  3.506188E+05  4.512970E+05  5.647216E+05  5.246350E+04
2.371531E-01  3.049259E+06  1.011305E+06  3.633982E+05  4.269432E+05  5.619764E+05  6.029557E+04
2.426771E-01  2.990611E+06  9.766412E+05  3.440120E+05  4.355721E+05  5.497135E+05  6.280424E+04
2.483298E-01  2.940466E+06  9.587201E+05  3.416981E+05  4.356565E+05  5.384073E+05  4.999619E+04
2.541141E-01  2.851631E+06  9.417828E+05  3.339201E+05  4.205170E+05  5.108203E+05  5.643958E+04
2.600332E-01  2.742431E+06  9.061860E+05  3.450883E+05  4.068288E+05  5.074247E+05  5.482557E+04
2.660901E-01  2.720390E+06  9.088883E+05  3.124555E+05  4.057738E+05  5.042407E+05  4.907257E+04
2.722882E-01  2.620888E+06  8.622563E+05  3.202801E+05  3.850594E+05  4.690209E+05  4.496815E+04
2.786306E-01  2.582433E+06  8.358683E+05  3.119141E+05  3.868964E+05  4.667956E+05  5.193446E+04
